#OTU ID	AJ414	AP114	AS114	AT414	JJ114	JJ415	JJ515	JP315	JP414	JP515	JS115	JS415	JT115	JT314	JT415	OJ415	OJ514	OJ515	OJ615	OP315	OP515	OP614	OP615	OS115	OS214	OS415	OS615	OT115	OT414	OT415	OT515	Taxonomy
OTU1	9461	5607	11584	1649	0	0	92	769	787	10086	8432	6952	0	1258	182	0	0	136	202	2765	15177	5679	2264	12199	4225	7247	27541	6461	34777	4072	3570	GSL|100.0|KF861805|SH206550.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia
OTU2	896	1657	369	1562	14487	9623	5486	7095	11540	3649	503	1073	2028	5772	455	1366	1870	1432	1233	5856	6878	258	6433	1628	1654	4132	116	1248	618	1895	2053	GDL|100.0|HM999854|SH207241.07FU;k:Fungi
OTU3	911	1434	5753	2653	77	35	21	417	75	0	2432	523	0	1232	0	193	481	237	1213	2056	44	11699	607	1868	87	289	0	133	13287	2092	183	GS|99.4|MF533187|SH220112.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes
OTU4	19126	6478	7139	402	1848	655	689	1057	187	325	1138	1349	592	610	852	579	1971	589	225	1140	1063	117	520	4892	12755	5460	53	677	228	195	2566	GSL|100.0|KT693613|SH195774.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Dothideales
OTU5	0	9025	0	2163	0	0	47	745	3628	581	0	28	1598	1104	514	0	0	0	0	236	454	16551	680	0	421	82	0	176	5902	202	209	GS|99.6|FJ553309|SH196149.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Sarcinomyces
OTU6	0	2201	0	248	0	0	86	354	0	0	0	147	0	1876	0	105	0	50	17028	1439	0	0	0	0	0	320	0	563	2444	680	1256	GSL|100.0|KF981863|SH206550.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia
OTU7	345	774	0	2714	524	904	717	312	553	353	70	192	395	2324	99	3183	3259	3634	1865	180	1021	73	967	138	94	395	0	1765	1087	3104	1064	GSL|100.0|KC253942|SH215493.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae
OTU8	0	310	0	256	2668	1146	1344	26	62	73	0	0	169	2231	214	949	4578	754	209	35	149	0	87	0	0	33	0	73	1050	67	210	GDL|100.0|EF679345|SH216250.07FU;k:Fungi
OTU9	0	350	17264	832	0	0	0	23	0	0	0	59	0	482	11	196	164	79	64	50	0	532	30	0	276	93	0	430	1388	1742	866	GSL|100.0|KJ589622|SH206549.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Naganishia
OTU10	8549	0	174	43	93	70	34	60	0	124	67	198	114	174	522	25	46	19	0	303	343	0	140	100	91	287	0	260	96	733	1232	GSL|100.0|JX188129|SH197624.07FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Filobasidiales,f:Filobasidiaceae,g:Filobasidium
