"NMDS1","NMDS2","SampleID","BarcodeSequence","LinkerPrimerSequence","Year","Month","SiteCode","RepNum","SiteRep","Site","Elevation","DateCode","DescName","Description"
-0.232764330582897,0.0146045794565845,"OS115",NA,NA,2015,"October","S",1,"S1","SHORTHAIR",2700,"C","OS115","COS115"
0.287234141453412,-0.157922388322399,"AP114",NA,NA,2014,"August","P",1,"P1","PROVIDENCE",2000,"B","AP114","BAP114"
0.301978356053398,0.0315641555104732,"JJ415",NA,NA,2015,"July","J",4,"J4","SJER",400,"A","JJ415","AJJ415"
-0.00109318839122907,0.192837090863886,"OT115",NA,NA,2015,"October","T",1,"T1","SOAPROOT",1100,"C","OT115","COT115"
0.420842080819568,0.0135877712114196,"JJ515",NA,NA,2015,"July","J",5,"J5","SJER",400,"A","JJ515","AJJ515"
-0.452887910001879,0.120666907881702,"OS615",NA,NA,2015,"October","S",6,"S6","SHORTHAIR",2700,"C","OS615","COS615"
0.228788689153571,0.0750052502860585,"OJ615",NA,NA,2015,"October","J",6,"J6","SJER",400,"C","OJ615","COJ615"
0.185430836204971,-0.0211257272136284,"JT415",NA,NA,2015,"July","T",4,"T4","SOAPROOT",1100,"A","JT415","AJT415"
-0.164862744874182,-0.0409160842994035,"JP315",NA,NA,2015,"July","P",3,"P3","PROVIDENCE",2000,"A","JP315","AJP315"
0.250106924639502,0.0157941163941582,"OJ514",NA,NA,2014,"October","J",5,"J5","SJER",400,"C","OJ514","COJ514"
0.202417494100034,0.148043975299164,"OJ515",NA,NA,2015,"October","J",5,"J5","SJER",400,"C","OJ515","COJ515"
0.166802878194089,0.123991084157239,"OJ415",NA,NA,2015,"October","J",4,"J4","SJER",400,"C","OJ415","COJ415"
0.0243859487189049,-0.136065223946826,"AS114",NA,NA,2014,"August","S",1,"S1","SHORTHAIR",2700,"B","AS114","BAS114"
-0.455141309307039,-0.199359315243615,"JS415",NA,NA,2015,"July","S",4,"S4","SHORTHAIR",2700,"A","JS415","AJS415"
0.058979984653819,-0.138916200016719,"JP414",NA,NA,2014,"July","P",4,"P4","PROVIDENCE",2000,"A","JP414","AJP414"
-0.058842208101468,0.283030006093674,"OT515",NA,NA,2015,"October","T",5,"T5","SOAPROOT",1100,"C","OT515","COT515"
0.376137427492162,0.0123334250998098,"JJ114",NA,NA,2014,"July","J",1,"J1","SJER",400,"A","JJ114","AJJ114"
-0.0795721814719785,0.243918008257322,"OT415",NA,NA,2015,"October","T",4,"T4","SOAPROOT",1100,"C","OT415","COT415"
0.123052472463727,-0.0549808141113273,"OT414",NA,NA,2014,"October","T",4,"T4","SOAPROOT",1100,"C","OT414","COT414"
-0.19283103240612,-0.0578530366214526,"JP515",NA,NA,2015,"July","P",5,"P5","PROVIDENCE",2000,"A","JP515","AJP515"
0.210735829344514,-0.0337848571049812,"JT115",NA,NA,2015,"July","T",1,"T1","SOAPROOT",1100,"A","JT115","AJT115"
-0.180758994162054,-0.109787632768597,"AJ414",NA,NA,2014,"August","J",4,"J4","SJER",400,"B","AJ414","BAJ414"
-0.283549560298226,0.081343834918756,"OP315",NA,NA,2015,"October","P",3,"P3","PROVIDENCE",2000,"C","OP315","COP315"
0.0256540196528519,-0.203430134041233,"OS214",NA,NA,2014,"October","S",2,"S2","SHORTHAIR",2700,"C","OS214","COS214"
0.219887418154742,-0.0887357883890472,"JT314",NA,NA,2014,"July","T",3,"T3","SOAPROOT",1100,"A","JT314","AJT314"
-0.242827014157999,0.114983503623931,"OP515",NA,NA,2015,"October","P",5,"P5","PROVIDENCE",2000,"C","OP515","COP515"
0.246683020178686,-0.081939509975839,"AT414",NA,NA,2014,"August","T",4,"T4","SOAPROOT",1100,"B","AT414","BAT414"
-0.203221475404543,0.0325272940886554,"OS415",NA,NA,2015,"October","S",4,"S4","SHORTHAIR",2700,"C","OS415","COS415"
-0.24575440918572,0.155035504533337,"OP615",NA,NA,2015,"October","P",6,"P6","PROVIDENCE",2000,"C","OP615","COP615"
-0.267098658541422,-0.119695937218766,"OP614",NA,NA,2014,"October","P",6,"P6","PROVIDENCE",2000,"C","OP614","COP614"
-0.267912504391195,-0.214753858402336,"JS115",NA,NA,2015,"July","S",1,"S1","SHORTHAIR",2700,"A","JS115","AJS115"
