	OS115	AP114	JJ415	OT115	JJ515	OS615	OJ615	JT415	JP315	OJ514	OJ515	OJ415	AS114	JS415	JP414	OT515	JJ114	OT415	OT414	JP515	JT115	AJ414	OP315	OS214	JT314	OP515	AT414	OS415	OP615	OP614	JS115
OS115	0.0	0.801711617905	0.810628799785	0.733067363159	0.8421792748	0.745616431922	0.778646080496	0.768785384071	0.697971869243	0.788905161993	0.793007111378	0.763681720561	0.737943326461	0.75256814048	0.746227593354	0.741468176742	0.829709969273	0.739652701608	0.736032420906	0.699139866573	0.770169102636	0.705156963097	0.696590276484	0.74042666003	0.772310216212	0.702196625836	0.791434595322	0.581884056228	0.681779462815	0.74346087168	0.666970192426
AP114	0.801711617905	0.0	0.699908410132	0.787477783276	0.686708434199	0.858871352065	0.711463497659	0.668799055581	0.767532615634	0.646033748695	0.756646361615	0.752674010894	0.731270676456	0.876340104005	0.681046905921	0.802614862393	0.670790056359	0.808257986331	0.683134690772	0.765778677255	0.652138287447	0.813278015365	0.81100393541	0.743615659985	0.667766835344	0.797531156263	0.689294208956	0.786051753932	0.790146981927	0.810200630281	0.82075165012
JJ415	0.810628799785	0.699908410132	0.0	0.747693279116	0.56644253283	0.844023953913	0.626532186533	0.618370404829	0.784465249591	0.598072868237	0.650404198772	0.657190906359	0.74287708837	0.857994302448	0.732922092569	0.781748580239	0.596790719482	0.773858508231	0.689513257921	0.790173821537	0.624317227602	0.800431508358	0.805683286571	0.764595694079	0.684947719848	0.797412615097	0.683333083887	0.800562698527	0.811571103013	0.810084544419	0.818186270158
OT115	0.733067363159	0.787477783276	0.747693279116	0.0	0.787532544688	0.777210304234	0.714110434134	0.729622948164	0.733562937042	0.734584624079	0.692665747277	0.690488032947	0.748301328387	0.810626344787	0.759388541398	0.621287109696	0.788503713523	0.613112412525	0.722426292399	0.731927282083	0.743155899306	0.744922690887	0.740157115449	0.762747668496	0.75516174104	0.73288085254	0.738224262251	0.734044265671	0.740314417733	0.766561668112	0.774005103151
JJ515	0.8421792748	0.686708434199	0.56644253283	0.787532544688	0.0	0.878394770443	0.658500263514	0.645919808063	0.827232514152	0.618661906902	0.690966083545	0.707484659623	0.772529618321	0.901495070096	0.767772583386	0.817266197192	0.565158139491	0.819079239929	0.725152942449	0.835535208746	0.63502802179	0.840947397868	0.852524086974	0.791306083622	0.683677734539	0.839475905024	0.705750868918	0.831073733427	0.839993614138	0.850079700972	0.864486240185
OS615	0.745616431922	0.858871352065	0.844023953913	0.777210304234	0.878394770443	0.0	0.83279215653	0.826184948308	0.760365240337	0.843831482648	0.817112909651	0.816188909678	0.79957930544	0.746187505897	0.792643642598	0.774323903457	0.864940243138	0.761181958672	0.815180078136	0.748735287609	0.840616798819	0.751873820354	0.721118698645	0.818771297419	0.829859739857	0.72677184398	0.846266238017	0.699940312899	0.741451059827	0.741951206127	0.758277168129
OJ615	0.778646080496	0.711463497659	0.626532186533	0.714110434134	0.658500263514	0.83279215653	0.0	0.655029051394	0.769078460687	0.617572517193	0.585318487247	0.579778648979	0.706948355106	0.841307384034	0.733967035286	0.752677624985	0.646980414569	0.755237133008	0.683549023786	0.783720425909	0.670730770657	0.767954287638	0.792795623572	0.729795147993	0.694019416405	0.789647613864	0.660535853837	0.778557210563	0.793581923598	0.787688849945	0.804066849767
JT415	0.768785384071	0.668799055581	0.618370404829	0.729622948164	0.645919808063	0.826184948308	0.655029051394	0.0	0.734662827484	0.633743428594	0.678889926964	0.689081738396	0.705119092342	0.840648928366	0.68766862546	0.759077849243	0.654493337794	0.762821512014	0.624751900532	0.745256958983	0.546587876599	0.778868114949	0.780763649673	0.724244489859	0.611958072634	0.775641585889	0.648402332199	0.753897953249	0.76956248632	0.783431978094	0.773037915033
JP315	0.697971869243	0.767532615634	0.784465249591	0.733562937042	0.827232514152	0.760365240337	0.769078460687	0.734662827484	0.0	0.767854912929	0.775632269309	0.760753785137	0.723394206561	0.752057322291	0.706634010757	0.760198980741	0.805981373118	0.739146501732	0.736558525616	0.595191875933	0.745558986629	0.704202070571	0.641145146039	0.743103141823	0.767077303626	0.671957240546	0.783232287778	0.685986070875	0.650222082972	0.691418414721	0.688246683473
OJ514	0.788905161993	0.646033748695	0.598072868237	0.734584624079	0.618661906902	0.843831482648	0.617572517193	0.633743428594	0.767854912929	0.0	0.65508054856	0.645663210851	0.717292521405	0.859175325854	0.701059868472	0.769455307002	0.611363575141	0.761423566559	0.649437638011	0.775563966583	0.624942014442	0.772126924288	0.793803769494	0.729767018341	0.647481882396	0.776607589514	0.662127445588	0.78035872893	0.784380149026	0.789907367964	0.813467194137
