	OS115	AP114	JJ415	OT115	JJ515	OS615	OJ615	JT415	JP315	OJ514	OJ515	OJ415	AS114	JS415	JP414	OT515	JJ114	OT415	OT414	JP515	JT115	AJ414	OP315	OS214	JT314	OP515	AT414	OS415	OP615	OP614	JS115
OS115	0.0	0.536017711739	0.584096304002	0.500153322145	0.717478728551	0.458275049625	0.702428510663	0.589180937527	0.407801462716	0.516901113748	0.662608931103	0.665234329408	0.554895035447	0.610458602969	0.483416930177	0.468539348071	0.782737472149	0.489960520559	0.391581345236	0.390116755404	0.596601077288	0.456955907578	0.435149331578	0.523064293816	0.461353130588	0.465605769264	0.763682812003	0.300979444718	0.406894938222	0.531626243815	0.440647976793
AP114	0.536017711739	0.0	0.407978282647	0.45419651726	0.465692425128	0.602839949073	0.618604673168	0.321609030933	0.351095698082	0.383891266819	0.59671729535	0.601038824329	0.487771211262	0.56267499754	0.423594737984	0.474600234092	0.580451129373	0.443893210741	0.384747593102	0.357737549408	0.28965847594	0.506881999769	0.456987436847	0.455867546225	0.364765084059	0.454561066003	0.629406401227	0.646203318672	0.538248396944	0.488071653694	0.353119106166
JJ415	0.584096304002	0.407978282647	0.0	0.315832853092	0.276048948465	0.583474758818	0.324257415145	0.314455752481	0.392098289302	0.222443143031	0.302718397523	0.305928738679	0.237179175323	0.345991080471	0.48880654475	0.394171679736	0.372245387019	0.306942102491	0.367822436992	0.405440635435	0.314609488122	0.452720315403	0.347729670419	0.274238677624	0.475182621893	0.39731443242	0.37876890101	0.643689542521	0.626002163836	0.252487171793	0.275849229434
OT115	0.500153322145	0.45419651726	0.315832853092	0.0	0.46258982378	0.535387518736	0.374302539425	0.428829180242	0.381529860528	0.265516701004	0.324873109465	0.329094514598	0.362609134813	0.456579822333	0.536967727365	0.205969519662	0.476613867299	0.185676360138	0.408587374924	0.36309467664	0.455553684713	0.361159786163	0.326473048699	0.322258830695	0.538627834717	0.375826620562	0.445143353106	0.54312505194	0.545781750919	0.330004021528	0.39923155155
JJ515	0.717478728551	0.465692425128	0.276048948465	0.46258982378	0.0	0.734977736624	0.373970184901	0.411884893081	0.529917276252	0.374576819063	0.354195858966	0.361017271044	0.448829169536	0.562079924188	0.615838457999	0.529553370468	0.267538439191	0.489825945485	0.488170821204	0.54167467201	0.406092737926	0.618687414856	0.551299402471	0.440790148731	0.559315140484	0.575143031338	0.396742575306	0.775088244162	0.771625832055	0.475429242744	0.438347454209
OS615	0.458275049625	0.602839949073	0.583474758818	0.535387518736	0.734977736624	0.0	0.719304814954	0.615014773576	0.509245380075	0.55432113979	0.677392125061	0.675683131167	0.544173515148	0.564970155386	0.572868279464	0.454053905206	0.816807147776	0.465497582395	0.528019195868	0.434121885182	0.65744596574	0.37730189965	0.421728752279	0.563136134437	0.604789802946	0.459932484736	0.786944678376	0.462599893226	0.465455977604	0.498405281403	0.549584893949
OJ615	0.702428510663	0.618604673168	0.324257415145	0.374302539425	0.373970184901	0.719304814954	0.0	0.490768482884	0.571935964872	0.319077774531	0.0888443702075	0.0965954179808	0.317151652826	0.447617387077	0.682757674991	0.468591864059	0.317968352672	0.39396019011	0.500363006742	0.542880801817	0.520618957435	0.54955011748	0.489716948118	0.284851925982	0.687140226858	0.541952785092	0.186328351515	0.730780959808	0.742056796493	0.346639037588	0.496368189184
JT415	0.589180937527	0.321609030933	0.314455752481	0.428829180242	0.411884893081	0.615014773576	0.490768482884	0.0	0.375494942273	0.305345035157	0.468115592754	0.490713145924	0.386185665963	0.468734971498	0.452438166324	0.480222302439	0.547843573599	0.402179450505	0.34599377673	0.408611912092	0.124655324228	0.493036367082	0.429755478746	0.364957111317	0.396400082178	0.450347552302	0.492375387598	0.656904248676	0.612193001244	0.402580281837	0.280294539483
JP315	0.407801462716	0.351095698082	0.392098289302	0.381529860528	0.529917276252	0.509245380075	0.571935964872	0.375494942273	0.0	0.382044462513	0.536483992592	0.536110805868	0.393064933013	0.475254504181	0.401060901068	0.385203415608	0.626174097341	0.378956099424	0.377878464076	0.164986385023	0.417241931769	0.348228822015	0.291907314448	0.372941093782	0.46662319772	0.331704122515	0.601743728406	0.46129383084	0.332770355624	0.369235582337	0.281507771058
OJ514	0.516901113748	0.383891266819	0.222443143031	0.265516701004	0.374576819063	0.55432113979	0.319077774531	0.305345035157	0.382044462513	0.0	0.288350050638	0.299272915883	0.2429608594	0.353369196157	0.475136242947	0.339347839347	0.394900996846	0.243582577621	0.301079181689	0.354691250326	0.335011441882	0.383192671084	0.310601506409	0.221168338783	0.462535176654	0.35344777945	0.388863148529	0.57566781562	0.558097409069	0.226355829451	0.309741685234
